SKU,Description,Warehouse,Wire,Trailer,FN_Assy,Final Station,PDI,QC,Ship,ETO,Bat,Last Modified
PDS310DP-006,"PDSG310DP-6E1 W/UNDERCARRIAGE ELECTRIC 3"" RING HITCH ASSEMBLY",5.0,0.0,0.0,270.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DP-001,"PDSF375DP-6E1 W/UNDERCARRIAGE SURGE 2"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,315.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DP-002,"PDSF375DP-6E1 W/UNDERCARRIAGE ELECTRIC 2"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,270.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DP-003,"PDSF375DP-6E1 W/UNDERCARRIAGE SURGE 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,315.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DP-004,"PDSF375DP-6E1 W/UNDERCARRIAGE ELECTRIC 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,270.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DP-005,"PDSF375DP-6E1 W/UNDERCARRIAGE SURGE 3"" RING HITCH ASSEMBLY",5.0,0.0,0.0,315.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DP-006,"PDSF375DP-6E1 W/UNDERCARRIAGE ELECTRIC 3"" RING HITCH ASSEMBLY",10.0,0.0,0.0,388.0,ComAcc,30.0,30.0,30.0,0,0.0,2026-05-27
PDS375DPC-001,"PDSF375DPC-6E1 W/UNDERCARRIAGE SURGE 2"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,335.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DPC-002,"PDSF375DPC-6E1 W/UNDERCARRIAGE ELECTRIC 2"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,290.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DPC-003,"PDSF375DPC-6E1 W/UNDERCARRIAGE SURGE 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,335.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DPC-004,"PDSF375DPC-6E1 W/UNDERCARRIAGE ELECTRIC 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,290.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DPC-005,"PDSF375DPC-6E1 W/UNDERCARRIAGE SURGE 3"" RING HITCH ASSEMBLY",5.0,0.0,0.0,335.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS375DPC-006,"PDSF375DPC-6E1 W/UNDERCARRIAGE ELECTRIC 3"" RING HITCH ASSEMBLY",5.0,0.0,0.0,290.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS400S-001,"PDS400S-6E1 W/UNDERCARRIAGE SURGE 2"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,335.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS400S-002,"PDS400S-6E1 W/UNDERCARRIAGE ELECTRIC 2"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,290.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS400S-003,"PDS400S-6E1 W/UNDERCARRIAGE SURGE 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,335.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS400S-004,"PDS400S-6E1 W/UNDERCARRIAGE ELECTRIC 2-5/16"" BALL HITCH ASSEMBLY",5.0,0.0,0.0,290.0,ComAcc,15.0,30.0,30.0,0,0.0,
PDS400S-005,"PDS400S-6E1 W/UNDERCARRIAGE SURGE 3"" RING HITCH ASSEMBLY",5.0,0.0,0.0,335.0,ComAcc,15.0,30.0,30.0,0,0.0,
