SKU,Description,Warehouse,AccKIT,Nameplate Prep,BattSubRaw,PMAcc,GenAcc,Compressor,Last Modified
BOSS25-A001,EBOSS 2525 HYBRID BC CWP ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,0.0,0.0,
BOSS25-A002,EBOSS 2525 HYBRID BD CWP ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,0.0,0.0,
BOSS25-A003,EBOSS 25-25 HYBRID BD CSA CWP ACCESSORY PACKAGE,30.0,30.0,10.0,320.0,60.0,245.0,0.0,
BOSS25-A004,EBOSS 25-25 HYBRID CWP ACCESSORY PACKAGE,20.0,20.0,10.0,320.0,60.0,210.0,0.0,
BOSS25-A005,EBOSS 2525 HYBRID BD CSA CWP 600V CL ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,0.0,0.0,
BOSS25-A006,EBOSS 2525 HYBRID EH INV VC ACCESSORY PACKAGE,0.0,0.0,0.0,0.0,60.0,0.0,0.0,
BOSS25-25 AXXX,EBOSS 25-25 ESTIMATION ACCESSORY PACKAGE,30.0,30.0,10.0,320.0,60.0,302.0,0.0,
BOSS25-A007,EBOSS 25-25 HYBRID SOL 160GAL EXT ACCESSORY PACKAGE,20.0,20.0,10.0,320.0,60.0,300.0,0.0,
BOSS25-A008,EBOSS 25-25 HYBRID CWP OES TEL UR DECAL ACCESSORY PACKAGE,30.0,30.0,10.0,240.0,60.0,302.0,0.0,
BOSS25-A009,EBOSS 2525 HYBRID CWP T MOBILE WRAP ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,0.0,0.0,
BOSS25-A010,EBOSS 2525 HYBRID EBH EH T MOBILE WRAP ACCESSORY PACKAGE,0.0,0.0,0.0,0.0,60.0,0.0,0.0,
BOSS25-A011,EBOSS 2525 HYBRID T MOBILE WRAP ACCESSORY PACKAGE,0.0,0.0,0.0,0.0,60.0,0.0,0.0,
BOSS25-A012,EBOSS 25-25 HYBRID 160GAL EXT AECCSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,0.0,0.0,
BOSS25-A013,EBOSS 25-25 HYBRID CWP FOR ES ACCESSORY PACKAGE,20.0,20.0,10.0,240.0,60.0,210.0,0.0,
BOSS25-A014,EBOSS 2525 HYBRID OES TEL UR DECAL ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,0.0,0.0,
BOSS25-A015,EBOSS 2525 HYBRID CWP SOL ACCESSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,0.0,0.0,
BOSS25-A016,EBOSS 25-25 HYBRID EH HERC DECAL ACCESSORY PACKAGE,10.0,10.0,10.0,240.0,60.0,60.0,0.0,
BOSS25-A017,EBOSS 25-25 HYBRID AWP CSA ACCESSORY PACKAGE,20.0,20.0,10.0,320.0,60.0,240.0,0.0,
BOSS25-A018,EBOSS 2525 HYBRID BC BD CCV CSA EBH EH HFF VC ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,359.0,0.0,
BOSS25-A019,EBOSS 2525 HYBRID CSA CWP OES TEL UR DECAL ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,341.0,0.0,
BOSS25-A020,EBOSS 2525 HYBRID BHW EBH ACCESSORY PACKAGE,40.0,40.0,0.0,0.0,60.0,50.0,0.0,
BOSS25-A021,EBOSS 2525 HYBRID CWP TEL OES DECAL ACCESSORY PACKAGE,25.0,25.0,0.0,0.0,60.0,326.0,0.0,
BOSS25-A022,EBOSS 2525 HYBRID AWP CLIOC CSA ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,320.0,0.0,
BOSS25-A023,EBOSS 2525 HYBRID CSA CWP ACCESSORY PACKAGE,20.0,20.0,0.0,0.0,60.0,245.0,0.0,
BOSS400-A001,EBOSS 400220 HYBRID CWP ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,230.0,0.0,
BOSS400-A002,EBOSS 400220 HYBRID AWP CLIOC CSA ACCESSORY KIT,10.0,10.0,0.0,0.0,60.0,320.0,0.0,
BOSS400-A003,EBOSS 400220 HYBRID AWP CLIOC CSA 600V TB ACCESSORY KIT,5.0,5.0,0.0,0.0,60.0,800.0,0.0,
BOSS400HS-A001,EBOSS 400 PM SKID EH 600V INPUT 600V OUTPUT ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,45.0,0.0,
BOSS400HS-A002,EBOSS 400 PM EH HERC DECAL ACCESSORY PACKAGE,20.0,0.0,10.0,180.0,120.0,45.0,0.0,2026-05-26
BOSS400HS-A003,EBOSS 400 PM SKID CSA CLIOC EHART VC ACCESSORY PACKAGE,5.0,5.0,0.0,0.0,60.0,150.0,0.0,
BOSS70-A001,EBOSS 7045 HYBRID CWP OES TEL UR DECAL ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,322.0,0.0,
BOSS70-A002,EBOSS 7045 HYBRID CWP OES ES DECAL ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,269.0,0.0,
BOSS70-A003,EBOSS 7045 HYBRID BD CWP ACCESSORY PACKAGE,20.0,20.0,0.0,0.0,60.0,250.0,0.0,
BOSS70-A004,EBOSS 70-45 HYBRID CWP ACCESSORY PACKAGE,20.0,20.0,10.0,320.0,60.0,230.0,0.0,
BOSS70-A005,EBOSS 7045 HYBRID CWP T MOBILE WRAP ACCESSORY PACKAGE,15.0,15.0,0.0,0.0,60.0,230.0,0.0,
BOSS70-A006,EBOSS 7045 HYBRID T MOBILE WRAP ACCESSORY PACKAGE,10.0,10.0,0.0,0.0,60.0,0.0,0.0,
